Scenario,Jobs,Mean_Batch_Quantity,Mean_Total_Wait_Min,Mean_Total_Service_Min,Mean_Total_Flow_Min,Median_Total_Flow_Min,P95_Total_Flow_Min,Mean_Scrap_Pct,S1_Utilization,S2_Utilization,S3_Utilization,S4_Utilization,Max_Utilization,Throughput_Jobs_Per_Hour,Flow_Time_Improvement_Pct,Waiting_Time_Improvement_Pct,Utilization_Reduction_Pct
Baseline,350.0,5663.291428571429,834.3795781695487,188.4541775613862,1022.8337557309351,1025.0695773866018,1631.1738748960427,1.7185714285714286,0.7791794917562679,0.6532917468714509,0.83691732709281,0.21680238086487064,0.83691732709281,10.5966617952458,0.0,0.0,0.0
S2 Improvement,350.0,5663.291428571429,830.1933190057031,178.35305707793225,1008.5463760836353,1010.191423847692,1617.681292280861,1.7185714285714286,0.7773169376345931,0.5232668494948052,0.8369297445841983,0.21712978804645258,0.8369297445841983,10.755190917945354,1.396842797497404,0.5017211918140914,-0.0014837178041821324
S3 Improvement,350.0,5663.291428571429,543.171487691795,175.67452722855583,718.8460149203509,720.966152053584,1124.1879608151733,1.7185714285714286,0.7876569288934531,0.6636204537465987,0.6784257997977602,0.21956290205158718,0.7876569288934531,16.5829126907281,29.72015140362172,34.90115267641165,5.885933604753073
Batch Size Reduction,350.0,4530.633142857143,363.56009437385603,150.76951739965196,514.3296117735081,515.057606739244,816.7910298684423,1.7185714285714286,0.639591621031153,0.5354999487210241,0.6874482540646023,0.1778890327572457,0.6874482540646023,23.56781410183135,49.71522900063471,56.427493686814636,17.859478850487736
Combined Improvement,350.0,4530.633142857143,309.60756743164836,132.53967552151965,442.147242953168,437.2857191573404,707.4754557951582,1.7185714285714286,0.6408528115458216,0.4313340947085119,0.5511404658103715,0.1788762502979882,0.6408528115458216,26.970214303469156,56.77232585688359,62.8936786647078,23.426987254291337
