Station,Mean_Wait_Min,Median_Wait_Min,P90_Wait_Min,P95_Wait_Min,Mean_Service_Min,Median_Service_Min,P90_Service_Min,P95_Service_Min,Total_Wait_Min,Total_Service_Min,Wait_Share_Pct,Service_Share_Pct
S1,6.154285714285714,6.0,10.0,11.0,58.97142857142857,55.0,92.0,96.0,2154,20640,22.642699463891518,31.314955015096114
S2,10.08,10.0,15.0,16.0,49.52571428571429,46.0,77.0,81.0,3528,17334,37.086092715231786,26.29910030192229
S3,7.694285714285714,7.0,13.0,14.0,63.385714285714286,59.0,99.0,103.0,2693,22185,28.308630295385264,33.65902504892962
S4,3.2514285714285713,3.0,5.0,6.0,16.434285714285714,16.0,23.0,24.0,1138,5752,11.962577525491433,8.72691963405198
