Batch_Group,Mean_Batch_Quantity,Mean_Waiting_Time,Mean_Service_Time,Mean_Flow_Time,Mean_Scrap_Pct,Number_of_Jobs
"(2099.999, 3680.0]",2863.370786516854,13.325842696629213,104.40449438202248,117.73033707865169,0.906741573033708,89
"(3680.0, 5255.0]",4538.720930232558,22.988372093023255,161.34883720930233,184.3372093023256,1.408139534883721,86
"(5255.0, 8000.0]",6570.568181818182,31.238636363636363,212.77272727272728,244.01136363636363,1.8844318181818183,88
"(8000.0, 9600.0]",8721.51724137931,41.39080459770115,276.08045977011494,317.4712643678161,2.68816091954023,87
